trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",30,0,-155.47735303062439,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.99}",20,0,-95.40686294127507,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.985}",25,5,-50.2741876968665,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.1, 'e': 0.98}",30,0,-111.01358206304326,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.975}",20,0,-91.22711867002079,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.97}",25,0,-105.85221413041583,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.965}",20,0,-2.849311434163033,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.96}",35,0,-214.95900456978615,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.955}",20,0,-103.70351158891032,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.95}",25,0,-90.03370725114436,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.945}",20,12,-20.19611518139352,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.94}",25,14,11.219686033980262,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",20,0,-81.4449173965666,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",20,0,-92.86066920588131,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",20,0,-54.60188817064052,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",25,0,-139.24425514617775,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9149999999999999}",20,0,-99.30457580771966,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.9099999999999999}",30,0,-92.61219723899825,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9049999999999999}",20,0,-57.83247695258237,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.8999999999999999}",25,0,-164.56212036299294,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.8949999999999999}",25,0,-139.0900723816387,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.1, 'e': 0.8899999999999999}",30,0,-190.87203001768577,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
23,False,"{'a': 0.1, 'e': 0.8849999999999999}",35,0,-54.40070980023624,"{0: 26, 1: 4, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.8799999999999999}",20,0,-107.11593928105755,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.8749999999999999}",20,0,-106.15798015840365,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.8699999999999999}",20,9,-24.030506734930643,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.8649999999999999}",25,0,-151.70265957378183,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.8599999999999999}",20,0,-126.60090647799214,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.8549999999999999}",25,7,-129.28918130774446,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
30,False,"{'a': 0.1, 'e': 0.8499999999999999}",30,0,-326.74398197604387,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 6}",0
31,False,"{'a': 0.1, 'e': 0.8449999999999999}",20,0,-88.69238292991962,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.8399999999999999}",25,0,-184.49283745013526,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.8349999999999999}",30,0,-174.54685442641167,"{0: 20, 1: 1, 2: 3, 3: 4, 4: 2}",0
34,False,"{'a': 0.1, 'e': 0.8299999999999998}",25,0,-100.9900830246631,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.8249999999999998}",20,0,-183.08905766203875,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
